Zon Taburan Hujan	Kelas Tanah	Topografi	Tahun Tuai	Potensi Hasil
Kering	3	Beralun Sederhana	17	25
Kering	3	Beralun Sederhana	18	25
Kering	3	Beralun Sederhana	19	25
Kering	3	Beralun Sederhana	20	25
Kering	3	Beralun Sederhana	21	25
Kering	3	Beralun Sederhana	22	25
Kering	3	Beralun Sederhana	23	24
Kering	3	Beralun Sederhana	24	23
Kering	3	Beralun Sederhana	25	22.5
Kering	3	Berbukit	1	4.5
Kering	3	Berbukit	2	9
Kering	3	Berbukit	3	12
Kering	3	Berbukit	4	14
Kering	3	Berbukit	5	18
Kering	3	Berbukit	6	19
Kering	3	Berbukit	7	20.5
Kering	3	Berbukit	8	20.5
Kering	3	Berbukit	9	20.5
Kering	3	Berbukit	10	20.5
Kering	3	Berbukit	11	20.5
Kering	3	Berbukit	12	20.5
Kering	3	Berbukit	13	20.5
Kering	3	Berbukit	14	20.5
Kering	3	Berbukit	15	20.5
Kering	3	Berbukit	16	20.5
Kering	3	Berbukit	17	20.5
Kering	3	Berbukit	18	20.5
Kering	3	Berbukit	19	20.5
Kering	3	Berbukit	20	20.5
Kering	3	Berbukit	21	20.5
Kering	3	Berbukit	22	20.5
Kering	3	Berbukit	23	20
Kering	3	Berbukit	24	19.5
Kering	3	Berbukit	25	19
Kering	3	Beralun Lemah	1	8
Kering	3	Beralun Lemah	2	15
Kering	3	Beralun Lemah	3	19
Kering	3	Beralun Lemah	4	22
Kering	3	Beralun Lemah	5	24
Kering	3	Beralun Lemah	6	27
Kering	3	Beralun Lemah	7	27
Kering	3	Beralun Lemah	8	27
Kering	3	Beralun Lemah	9	27
Kering	3	Beralun Lemah	10	27
Kering	3	Beralun Lemah	11	27
Kering	3	Beralun Lemah	12	27
Kering	3	Beralun Lemah	13	27
Kering	3	Beralun Lemah	14	27
Kering	3	Beralun Lemah	15	27
Kering	3	Beralun Lemah	16	27
Kering	3	Beralun Lemah	17	27
Kering	3	Beralun Lemah	18	27
Kering	3	Beralun Lemah	19	27
Kering	3	Beralun Lemah	20	27
Kering	3	Beralun Lemah	21	27
Kering	3	Beralun Lemah	22	27
Kering	3	Beralun Lemah	23	26.5
Kering	3	Beralun Lemah	24	26
Kering	3	Beralun Lemah	25	25
Lembab	1	Beralun Sederhana	1	16
Lembab	1	Beralun Sederhana	2	21
Lembab	1	Beralun Sederhana	3	28
Lembab	1	Beralun Sederhana	4	30
Lembab	1	Beralun Sederhana	5	30
Lembab	1	Beralun Sederhana	6	30
Lembab	1	Beralun Sederhana	7	30
Lembab	1	Beralun Sederhana	8	30
Lembab	1	Beralun Sederhana	9	30
Lembab	1	Beralun Sederhana	10	30
Lembab	1	Beralun Sederhana	11	30
Lembab	1	Beralun Sederhana	12	30
Lembab	1	Beralun Sederhana	13	30
Lembab	1	Beralun Sederhana	14	30
Lembab	1	Beralun Sederhana	15	30
Lembab	1	Beralun Sederhana	16	30
